band1,band2,band3,band4,label
1101.0,1258.0,1482.5,1785.25,0
993.0,1140.0,1526.0,1940.5,0
920.25,1039.75,1285.0,1626.0,0
812.25,904.5,1023.5,1477.25,0
679.25,822.75,886.0,1549.25,0
673.5,899.5,943.0,1676.75,0
530.75,823.5,860.75,1776.25,0
420.25,691.5,742.5,2567.0,0
457.75,770.25,719.0,2645.25,0
449.0,684.5,662.25,2502.5,0
572.25,810.0,807.75,2558.25,0
363.25,693.25,611.5,2428.0,0
272.25,497.75,483.0,1713.25,0
545.5,725.75,786.25,1852.25,0
1266.5,1503.5,1772.5,2316.0,0
1368.0,1555.0,1907.5,2322.25,0
1014.5,1266.0,1615.5,2189.25,0
965.25,1291.5,1664.0,2268.75,0
1403.5,1565.5,1944.5,2260.5,0
1226.5,1350.5,1594.5,1933.25,0
1003.25,1157.25,1236.5,1878.5,0
559.25,771.5,792.0,2250.5,0
464.25,714.25,720.0,2425.75,0
294.25,591.25,609.75,2464.0,0
385.75,636.75,600.25,2150.75,0
570.25,810.75,788.5,1977.25,0
853.75,1051.5,1099.5,2029.5,0
557.0,878.5,839.5,2582.75,0
457.25,743.25,684.75,2757.25,0
451.25,720.25,658.5,2712.0,0
886.0,1127.5,1133.0,2484.0,0
1501.5,1705.5,1805.0,2222.25,0
1468.0,1572.5,1726.5,2086.25,0
1052.0,1214.0,1297.0,1858.25,0
841.5,1007.75,1220.5,1962.75,0
814.5,1037.5,1264.5,1657.5,0
1039.5,1167.5,1296.0,1686.25,0
996.0,1110.5,1230.0,1647.0,0
736.75,962.0,1081.75,1543.25,0
798.0,986.0,1130.25,1696.25,0
904.75,1149.5,1399.0,2298.75,0
877.75,1214.0,1434.0,2454.25,0
587.25,879.5,921.0,2603.5,0
447.25,783.25,636.0,3140.25,0
278.0,603.25,457.25,2718.0,0
139.25,406.5,345.25,1909.25,0
541.75,759.0,817.5,2051.0,0
1263.0,1575.5,1916.0,2312.0,0
1430.5,1683.5,2127.5,2420.5,0
1451.5,1627.0,2106.0,2474.0,0
1413.0,1586.0,2072.0,2460.0,0
1178.5,1382.0,1683.5,2223.25,0
934.25,1172.5,1233.5,2499.0,0
1083.5,1245.0,1139.5,2600.5,0
570.25,876.0,923.75,2469.5,0
501.75,804.5,840.75,2457.0,0
375.0,659.0,648.5,2349.75,0
397.5,628.75,617.75,2179.25,0
810.25,1148.0,1159.5,1988.75,0
921.0,1131.5,1139.5,2519.75,0
481.75,807.0,706.75,2385.75,0
423.5,713.0,661.75,2292.5,0
432.25,725.75,686.75,2451.0,0
959.0,1218.0,1218.5,2590.75,0
1329.5,1623.0,1738.0,2354.0,0
1335.0,1495.0,1757.0,2202.75,0
1207.5,1413.5,1523.5,2067.75,0
944.75,1114.0,1260.0,1982.0,0
1079.75,1305.0,1545.5,1843.75,0
1803.5,1806.0,1904.0,2253.25,0
1564.0,1663.0,1705.5,2113.25,0
955.0,1216.0,1328.0,1904.0,0
986.5,1178.0,1338.0,1797.5,0
957.75,1246.5,1495.5,2196.5,0
1138.0,1378.0,1493.5,2616.0,0
597.5,917.75,891.5,2642.5,0
